transaction_id,date,bank,region,transaction_type,amount,status,processing_time_hrs
TXN00087,2024-07-15,ICICI,East,SWIFT,50744.47,Completed,0.05
TXN00088,2024-03-25,Axis,East,IMPS,109112.6,Pending,0.11
TXN00089,2024-12-30,Axis,East,NEFT,31953.31,Completed,0.11
TXN00090,2023-09-23,HDFC,North,UPI,6368.62,Completed,4.77
TXN00091,2024-12-14,Axis,Central,RTGS,62456.32,Completed,2.55
TXN00092,2024-10-19,Kotak,East,UPI,71519.64,Pending,2.26
TXN00093,2024-07-16,Kotak,South,RTGS,41194.37,Failed,1.48
TXN00094,2023-11-14,HDFC,East,NEFT,73694.5,Completed,3.05
TXN00095,2023-10-25,ICICI,West,NEFT,34040.74,Completed,0.34
TXN00096,2024-05-04,ICICI,East,RTGS,36983.94,Completed,0.99
TXN00097,2024-12-16,Axis,North,IMPS,27890.71,Completed,1.35
TXN00098,2024-01-01,Axis,East,SWIFT,1287.39,Failed,0.23
TXN00099,2024-11-02,Axis,West,UPI,5708.37,Completed,1.09
TXN00100,2023-08-10,ICICI,South,UPI,1596.68,Completed,0.76
TXN00101,2024-02-22,SBI,Central,UPI,50586.48,Failed,0.07
TXN00102,2023-12-04,Kotak,East,NEFT,18869.84,Completed,0.29
TXN00103,2023-04-23,SBI,West,UPI,35521.86,Pending,2.89
TXN00104,2023-08-17,SBI,West,SWIFT,119063.28,Completed,0.04
TXN00105,2023-10-24,ICICI,South,SWIFT,14336.94,Completed,5.44
TXN00106,2024-09-18,SBI,North,RTGS,26414.1,Completed,0.18
TXN00107,2024-03-23,HDFC,East,NEFT,70437.46,Completed,3.21
TXN00108,2023-03-23,Axis,West,SWIFT,12990.26,Completed,4.58
TXN00109,2024-06-15,HDFC,South,IMPS,4005.21,Completed,5.67
TXN00110,2024-01-02,Kotak,Central,NEFT,17107.02,Completed,4.04
TXN00111,2024-09-03,Axis,West,NEFT,8790.42,Failed,0.68
TXN00112,2023-07-12,SBI,South,SWIFT,132747.5,Completed,0.81
TXN00113,2023-07-09,Kotak,North,IMPS,82544.35,Pending,1.11
TXN00114,2023-09-05,Axis,North,RTGS,50174.71,Completed,0.3
TXN00115,2024-05-15,SBI,West,SWIFT,102575.99,Completed,0.05
TXN00116,2024-03-06,HDFC,West,IMPS,81398.45,Pending,4.07
TXN00117,2024-12-23,Axis,East,NEFT,10324.77,Completed,1.62
TXN00118,2023-12-08,SBI,South,IMPS,111540.67,Pending,1.88
TXN00119,2024-12-05,HDFC,West,NEFT,38755.0,Completed,5.23
TXN00120,2024-02-09,Kotak,East,SWIFT,82367.41,Completed,2.19
TXN00121,2023-05-27,Kotak,East,SWIFT,113212.13,Completed,2.35
TXN00122,2023-05-02,Kotak,West,UPI,19136.54,Failed,3.09
TXN00123,2023-05-15,Kotak,North,UPI,5829.61,Pending,0.25
TXN00124,2023-11-07,ICICI,South,UPI,12934.34,Failed,0.89
TXN00125,2024-07-22,Axis,South,SWIFT,27852.88,Completed,6.9
TXN00126,2023-03-21,Axis,North,RTGS,85191.49,Pending,5.13
TXN00127,2024-07-15,ICICI,West,SWIFT,98567.25,Completed,4.31
TXN00128,2024-10-07,SBI,South,IMPS,348.82,Failed,1.2
TXN00129,2024-02-21,SBI,West,SWIFT,35743.81,Completed,3.89
TXN00130,2023-07-07,Kotak,West,SWIFT,27013.67,Pending,0.1
TXN00131,2024-11-23,HDFC,East,NEFT,12558.37,Pending,0.32
TXN00132,2023-11-29,SBI,North,NEFT,6384.02,Completed,1.07
TXN00133,2023-12-12,HDFC,West,NEFT,20595.43,Pending,1.32
TXN00134,2023-02-04,Axis,Central,SWIFT,143156.06,Pending,0.61
TXN00135,2023-08-23,HDFC,North,RTGS,19519.19,Completed,0.88
TXN00136,2023-10-29,Axis,South,IMPS,36572.64,Failed,0.36
TXN00137,2023-03-11,ICICI,East,IMPS,60704.35,Pending,1.34
TXN00138,2023-08-02,ICICI,South,RTGS,22598.72,Pending,3.16
TXN00139,2023-02-19,Kotak,South,RTGS,178389.91,Pending,2.17
TXN00140,2023-03-26,SBI,North,IMPS,164100.49,Pending,0.23
TXN00141,2024-08-13,Kotak,South,UPI,290061.29,Completed,1.34
TXN00142,2023-04-18,Axis,West,NEFT,34382.96,Failed,2.39
TXN00143,2023-12-30,Kotak,South,NEFT,17896.52,Failed,1.51
TXN00144,2023-10-15,HDFC,East,IMPS,16762.48,Completed,0.99
TXN00145,2024-11-11,Axis,East,RTGS,1879.22,Pending,1.95
TXN00146,2024-03-22,ICICI,Central,UPI,47024.6,Pending,6.92
TXN00147,2024-05-29,SBI,East,IMPS,34925.98,Completed,0.2
TXN00148,2024-09-03,Axis,South,NEFT,2642.55,Failed,0.99
TXN00149,2024-06-30,Axis,East,SWIFT,16331.3,Completed,1.04
TXN00150,2023-05-01,HDFC,North,RTGS,119443.05,Completed,1.72
TXN00151,2024-05-11,SBI,East,SWIFT,13693.03,Failed,0.33
TXN00152,2024-07-19,ICICI,West,IMPS,7826.54,Pending,0.39
TXN00153,2023-06-25,Axis,North,NEFT,33613.61,Completed,0.67
TXN00154,2024-12-11,Axis,Central,UPI,212201.85,Completed,6.24
TXN00155,2024-08-02,HDFC,West,SWIFT,13857.24,Completed,2.65
TXN00156,2023-08-19,Kotak,South,UPI,55757.75,Completed,2.17
TXN00157,2023-03-07,ICICI,South,NEFT,71694.38,Failed,3.4
TXN00158,2024-07-28,SBI,South,SWIFT,13566.66,Failed,0.27
TXN00159,2023-12-18,Axis,West,UPI,65137.45,Completed,3.92
TXN00160,2023-04-21,Axis,West,UPI,22926.14,Pending,1.81
TXN00161,2023-03-06,ICICI,West,SWIFT,50025.19,Failed,0.82
TXN00162,2024-09-15,Kotak,North,NEFT,1003837.83,Completed,3.38
TXN00163,2024-07-11,Axis,North,UPI,38369.26,Completed,3.24
TXN00164,2023-07-12,ICICI,South,IMPS,4731.46,Failed,3.74
TXN00165,2024-09-01,HDFC,East,SWIFT,90182.24,Completed,0.25
TXN00166,2024-08-07,Kotak,South,RTGS,19340.51,Completed,6.97
TXN00167,2023-10-13,SBI,Central,RTGS,10321.61,Completed,6.42
TXN00168,2023-08-21,Axis,North,NEFT,2081.49,Failed,0.88
TXN00169,2024-03-06,ICICI,West,IMPS,44688.92,Pending,0.14
TXN00170,2023-06-26,HDFC,North,UPI,56592.59,Completed,0.37
TXN00171,2024-06-28,SBI,West,RTGS,836.35,Completed,9.88
TXN00172,2024-09-07,ICICI,Central,NEFT,35881.53,Failed,1.66
TXN00173,2023-03-16,ICICI,Central,IMPS,12841.21,Completed,0.88
TXN00174,2024-09-16,SBI,North,IMPS,51806.22,Completed,0.68
TXN00175,2023-08-20,HDFC,West,NEFT,9580.21,Completed,0.59
TXN00176,2024-05-24,HDFC,Central,NEFT,58710.63,Completed,2.18
TXN00177,2023-03-31,Kotak,South,UPI,24447.94,Pending,1.09
TXN00178,2023-12-09,Axis,South,NEFT,138017.19,Completed,6.73
TXN00179,2024-09-01,SBI,West,UPI,7397.22,Failed,2.3
TXN00180,2024-09-09,SBI,North,UPI,20856.62,Pending,3.14
TXN00181,2023-07-25,SBI,Central,SWIFT,6022.21,Pending,0.69
TXN00182,2023-09-12,HDFC,North,IMPS,129309.52,Completed,0.16
TXN00183,2024-08-10,Axis,South,IMPS,104916.69,Failed,1.34
TXN00184,2024-06-04,Kotak,Central,IMPS,14916.37,Completed,0.76
TXN00185,2024-01-06,ICICI,North,SWIFT,53938.14,Completed,0.45
TXN00186,2023-08-10,ICICI,East,UPI,84974.2,Completed,6.1
TXN00187,2024-06-04,SBI,West,UPI,40506.62,Completed,1.17
TXN00188,2023-05-17,Axis,West,NEFT,37713.97,Completed,0.38
TXN00189,2024-09-11,HDFC,East,SWIFT,13843.85,Completed,0.44
TXN00190,2023-11-25,Axis,South,NEFT,4886.31,Pending,0.66
TXN00191,2023-11-07,Axis,Central,SWIFT,113756.16,Completed,14.58
TXN00192,2023-05-12,HDFC,West,NEFT,115338.72,Pending,0.62
TXN00193,2024-02-13,SBI,East,RTGS,50133.5,Completed,0.8
TXN00194,2024-11-02,Axis,East,IMPS,20702.33,Failed,2.15
TXN00195,2023-06-25,ICICI,South,IMPS,429567.62,Pending,0.7
TXN00196,2023-11-11,HDFC,South,UPI,64723.27,Completed,0.49
TXN00197,2023-01-17,Kotak,North,RTGS,113704.87,Completed,0.35
TXN00198,2023-10-19,SBI,West,IMPS,2181132.57,Pending,0.75
TXN00199,2024-04-20,HDFC,North,UPI,75678.11,Completed,0.22
TXN00200,2024-06-11,Kotak,East,RTGS,51365.53,Failed,0.04
TXN00201,2024-02-16,Kotak,Central,IMPS,4394.59,Completed,3.27
TXN00202,2023-04-03,Axis,Central,NEFT,8814.71,Pending,0.3
TXN00203,2024-04-01,Axis,South,SWIFT,114411.53,Completed,2.99
TXN00204,2024-02-16,Axis,Central,RTGS,932493.95,Completed,3.19
TXN00205,2023-11-11,HDFC,Central,UPI,461.98,Completed,1.54
TXN00206,2023-04-26,HDFC,Central,RTGS,5349.85,Pending,0.74
TXN00207,2023-07-01,SBI,East,UPI,54458.12,Completed,0.31
TXN00208,2024-03-07,Axis,Central,RTGS,253.72,Completed,2.67
TXN00209,2023-05-06,Kotak,Central,UPI,8765.79,Completed,1.84
TXN00210,2024-08-22,ICICI,Central,IMPS,39784.89,Completed,2.13
TXN00211,2024-01-17,SBI,North,NEFT,58865.76,Completed,0.02
TXN00212,2023-11-11,HDFC,East,IMPS,52772.07,Failed,5.25
TXN00213,2024-12-21,SBI,South,NEFT,12697.49,Failed,0.14
TXN00214,2023-04-23,SBI,North,IMPS,62270.86,Completed,0.91
TXN00215,2024-09-25,SBI,West,IMPS,13541.19,Failed,1.03
TXN00216,2023-12-15,SBI,East,RTGS,19681.75,Pending,0.0
TXN00217,2023-11-15,ICICI,East,SWIFT,68617.88,Failed,1.37
TXN00218,2023-01-16,Axis,West,UPI,52438.69,Completed,2.8
TXN00219,2024-11-20,Kotak,West,UPI,94597.8,Completed,3.47
TXN00220,2024-10-03,SBI,West,UPI,53590.66,Pending,4.23
TXN00221,2024-08-24,SBI,South,NEFT,42002.22,Completed,1.34
TXN00222,2024-10-21,SBI,Central,UPI,4917.85,Completed,1.99
TXN00223,2024-08-29,Axis,East,UPI,22920.82,Completed,0.17
TXN00224,2024-03-14,HDFC,Central,RTGS,15408.01,Completed,1.34
TXN00225,2024-03-02,HDFC,Central,IMPS,13985.01,Completed,0.34
TXN00226,2023-01-26,ICICI,West,UPI,180615.47,Completed,0.92
TXN00227,2024-12-02,HDFC,South,SWIFT,24969.37,Completed,0.8
TXN00228,2024-05-22,SBI,North,UPI,111302.76,Completed,1.1
TXN00229,2024-02-17,SBI,South,NEFT,49866.72,Completed,1.7
TXN00230,2023-02-27,SBI,Central,NEFT,79191.26,Completed,4.66
TXN00231,2023-04-20,ICICI,South,NEFT,34921.77,Completed,1.0
TXN00232,2023-07-12,SBI,West,UPI,43007.8,Completed,7.94
TXN00233,2023-01-13,HDFC,North,RTGS,33914.67,Failed,2.85
TXN00234,2024-03-24,Axis,West,SWIFT,10860.74,Completed,1.43
TXN00235,2023-12-12,Axis,North,UPI,64088.09,Completed,2.07
TXN00236,2024-04-14,Kotak,Central,RTGS,16478.87,Failed,0.22
TXN00237,2023-12-08,HDFC,North,RTGS,1230.82,Completed,3.72
TXN00238,2023-05-25,SBI,North,UPI,51848.44,Failed,1.75
TXN00239,2024-05-19,Axis,North,UPI,9746.68,Pending,8.55
TXN00240,2023-11-20,HDFC,South,RTGS,141054.16,Pending,2.02
TXN00241,2023-12-25,Axis,South,RTGS,153878.12,Failed,3.59
TXN00242,2024-07-22,SBI,Central,RTGS,123175.49,Completed,3.22
TXN00243,2024-12-13,Axis,North,UPI,23114.37,Completed,0.85
TXN00244,2023-06-21,Kotak,East,RTGS,778.87,Completed,0.6
TXN00245,2024-10-26,Kotak,Central,NEFT,131776.17,Completed,1.13
TXN00246,2023-03-06,Axis,North,UPI,27946.91,Completed,1.26
TXN00247,2024-02-04,HDFC,North,NEFT,170042.1,Completed,0.55
TXN00248,2024-06-03,HDFC,South,IMPS,165686.77,Completed,4.5
TXN00249,2023-10-07,HDFC,Central,UPI,1917387.02,Failed,1.56
TXN00250,2023-01-30,Axis,North,IMPS,17438.8,Completed,7.67
TXN00251,2024-06-18,HDFC,North,RTGS,24314.6,Failed,3.32
TXN00252,2024-11-25,SBI,Central,RTGS,95236.33,Pending,1.62
TXN00253,2023-04-25,Kotak,East,SWIFT,19057.31,Completed,5.88
TXN00254,2024-09-27,SBI,Central,RTGS,9285.93,Completed,1.41
TXN00255,2023-12-17,HDFC,Central,IMPS,40686.85,Pending,4.36
TXN00256,2024-12-04,SBI,East,RTGS,137564.67,Completed,0.89
TXN00257,2024-04-11,HDFC,Central,UPI,59541.28,Pending,0.95
TXN00258,2024-05-30,Axis,North,RTGS,42205.62,Completed,1.08
TXN00259,2024-07-16,SBI,Central,SWIFT,5111.41,Completed,1.58
TXN00260,2023-07-25,Axis,East,RTGS,47726.54,Completed,1.61
TXN00261,2023-08-18,Axis,West,IMPS,230528.49,Completed,1.37
TXN00262,2024-03-05,ICICI,Central,IMPS,7546.03,Failed,0.73
TXN00263,2023-02-02,HDFC,South,RTGS,36524.77,Failed,5.24
TXN00264,2023-05-30,Kotak,North,IMPS,104930.43,Completed,1.78
TXN00265,2023-11-07,HDFC,North,IMPS,67501.71,Pending,1.05
TXN00266,2023-06-03,Kotak,South,SWIFT,59703.72,Pending,2.11
TXN00267,2024-01-30,HDFC,South,UPI,60614.38,Completed,2.92
TXN00268,2023-03-02,Axis,Central,SWIFT,22274.62,Pending,6.47
TXN00269,2024-01-05,SBI,South,NEFT,347562.08,Completed,1.38
TXN00270,2024-07-05,SBI,West,SWIFT,82868.73,Completed,0.24
TXN00271,2023-02-28,ICICI,East,RTGS,83066.41,Completed,1.16
TXN00272,2024-02-05,Kotak,South,UPI,100897.5,Pending,1.3
TXN00273,2023-11-22,Kotak,South,RTGS,122230.8,Pending,4.55
TXN00274,2024-07-15,Kotak,West,NEFT,35804.66,Completed,1.0
TXN00275,2023-10-13,Axis,North,UPI,34809.22,Failed,6.13
TXN00276,2024-03-14,Kotak,North,IMPS,80047.5,Pending,1.33
TXN00277,2024-12-12,SBI,Central,SWIFT,52485.95,Completed,7.28
TXN00278,2023-08-29,Axis,West,RTGS,60527.53,Pending,0.02
TXN00279,2023-02-09,HDFC,East,NEFT,79430.97,Completed,4.58
TXN00280,2024-04-13,Kotak,East,IMPS,110366.17,Pending,5.35
TXN00281,2023-11-09,Kotak,West,SWIFT,20624.12,Failed,6.49
TXN00282,2024-06-18,HDFC,East,IMPS,23546.84,Pending,0.03
TXN00283,2023-11-04,Kotak,North,SWIFT,4934.8,Completed,0.38
TXN00284,2024-09-10,HDFC,East,UPI,43170.7,Pending,2.12
TXN00285,2023-08-07,Axis,East,IMPS,1830.21,Failed,0.05
TXN00286,2024-03-18,SBI,West,IMPS,31330.35,Completed,0.13
TXN00287,2024-08-30,HDFC,West,IMPS,39114.73,Completed,0.5
TXN00288,2023-12-22,ICICI,East,UPI,16881.53,Completed,1.44
TXN00289,2023-10-03,HDFC,South,NEFT,44681.63,Completed,1.58
TXN00290,2023-07-22,Kotak,West,SWIFT,1548.75,Completed,0.07
TXN00291,2023-08-05,Axis,Central,IMPS,1903.17,Completed,0.37
TXN00292,2023-05-14,Axis,Central,UPI,86467.57,Pending,1.39
TXN00293,2023-11-16,HDFC,North,NEFT,22329.25,Completed,1.8
TXN00294,2023-10-02,SBI,East,SWIFT,6794.45,Completed,0.32
TXN00295,2024-03-19,ICICI,South,UPI,36932.68,Completed,1.02
TXN00296,2023-09-17,Axis,North,SWIFT,73482.4,Completed,4.7
TXN00297,2024-03-01,Kotak,East,IMPS,12155.9,Completed,13.62
TXN00298,2024-04-19,Kotak,West,NEFT,48760.98,Failed,8.72
TXN00299,2023-04-03,SBI,Central,UPI,4460.55,Failed,4.27
TXN00300,2024-10-18,Axis,South,NEFT,2653.25,Completed,1.0
TXN00301,2023-10-12,HDFC,Central,IMPS,37895.45,Completed,2.32
TXN00302,2023-05-14,Kotak,West,NEFT,38895.52,Completed,1.08
TXN00303,2024-12-15,SBI,East,NEFT,50726.87,Completed,2.09
TXN00304,2024-08-04,Axis,West,RTGS,64748.03,Completed,0.74
TXN00305,2024-10-31,Axis,West,NEFT,186177.85,Completed,1.86
TXN00306,2023-11-13,Axis,Central,SWIFT,36314.56,Completed,1.48
TXN00307,2023-12-03,Axis,South,UPI,19500.99,Completed,0.05
TXN00308,2024-10-09,Axis,West,RTGS,79282.7,Completed,3.13
TXN00309,2023-05-21,Kotak,Central,UPI,15792.57,Completed,0.02
TXN00310,2023-04-22,SBI,South,UPI,28899.17,Completed,0.69
TXN00311,2024-05-09,Axis,East,IMPS,4085.26,Completed,0.01
TXN00312,2023-02-23,ICICI,East,IMPS,1283.88,Pending,0.94
TXN00313,2023-11-09,ICICI,North,RTGS,164369.0,Failed,0.13
TXN00314,2024-09-24,SBI,Central,IMPS,90388.38,Completed,4.9
TXN00315,2024-01-29,HDFC,South,IMPS,59532.14,Completed,1.07
TXN00316,2024-09-27,HDFC,West,IMPS,26292.98,Completed,1.23
TXN00317,2024-08-28,HDFC,East,UPI,9515.33,Completed,0.86
TXN00318,2023-08-14,ICICI,South,RTGS,8506.04,Completed,1.98
TXN00319,2024-06-10,HDFC,Central,UPI,14400.3,Completed,3.07
TXN00320,2024-07-25,Kotak,North,SWIFT,39839.53,Completed,2.09
TXN00321,2024-05-28,Axis,East,UPI,62692.46,Pending,2.76
TXN00322,2024-02-10,ICICI,South,SWIFT,53969.52,Pending,4.73
TXN00323,2024-12-23,SBI,South,NEFT,16420.61,Failed,3.98
TXN00324,2024-08-15,SBI,South,NEFT,154905.17,Completed,2.24
TXN00325,2024-11-03,Axis,Central,SWIFT,66950.87,Failed,0.48
TXN00326,2024-05-23,ICICI,Central,SWIFT,40411.52,Completed,2.03
TXN00327,2023-12-23,HDFC,Central,UPI,47301.52,Pending,1.41
TXN00328,2023-07-30,HDFC,West,SWIFT,27201.89,Completed,2.53
TXN00329,2024-03-09,Kotak,South,RTGS,14233.06,Completed,3.58
TXN00330,2023-10-31,Kotak,East,NEFT,22000.71,Completed,2.72
TXN00331,2024-08-20,HDFC,Central,NEFT,70909.09,Completed,3.75
TXN00332,2024-06-20,SBI,Central,SWIFT,724.9,Pending,0.13
TXN00333,2023-05-07,SBI,South,IMPS,6169.02,Failed,0.06
TXN00334,2024-04-29,Kotak,Central,IMPS,2354.72,Pending,0.6
TXN00335,2023-05-04,Axis,West,SWIFT,2079.07,Completed,4.62
TXN00336,2023-04-17,HDFC,West,RTGS,96710.15,Pending,3.47
TXN00337,2023-11-14,Kotak,Central,IMPS,60812.03,Completed,2.3
TXN00338,2024-01-16,Kotak,South,SWIFT,32139.23,Failed,2.41
TXN00339,2023-08-26,HDFC,South,RTGS,5147.85,Completed,2.59
TXN00340,2024-07-25,HDFC,South,RTGS,33825.9,Completed,5.72
TXN00341,2023-08-04,SBI,North,UPI,32072.52,Completed,3.57
TXN00342,2024-08-12,Axis,Central,RTGS,9509.74,Completed,1.95
TXN00343,2024-11-28,Axis,South,IMPS,28444.96,Completed,2.19
TXN00344,2024-09-11,HDFC,West,IMPS,25416.83,Pending,0.48
TXN00345,2024-02-13,ICICI,East,SWIFT,47836.12,Completed,2.14
TXN00346,2024-10-16,Kotak,East,SWIFT,50405.73,Pending,1.11
TXN00347,2024-03-24,Kotak,South,RTGS,2318.12,Pending,0.33
TXN00348,2023-11-24,HDFC,East,NEFT,23469.2,Completed,3.28
TXN00349,2023-03-30,ICICI,East,UPI,49156.25,Completed,1.43
TXN00350,2023-01-06,SBI,North,NEFT,34971.97,Pending,7.58
TXN00351,2023-04-04,HDFC,West,RTGS,97067.47,Completed,0.66
TXN00352,2024-07-02,HDFC,West,RTGS,53748.74,Failed,1.31
TXN00353,2024-02-27,Kotak,North,NEFT,8892.64,Failed,1.19
TXN00354,2024-04-08,HDFC,North,UPI,3659.12,Completed,0.26
TXN00355,2023-05-27,HDFC,East,NEFT,51419.71,Completed,1.11
TXN00356,2023-10-13,HDFC,Central,SWIFT,1343.45,Pending,0.68
TXN00357,2023-01-29,Kotak,East,IMPS,44067.37,Failed,0.35
TXN00358,2023-12-28,SBI,North,SWIFT,140862.77,Pending,0.66
TXN00359,2023-04-12,SBI,West,IMPS,42839.12,Completed,0.53
TXN00360,2024-04-17,HDFC,East,RTGS,24565.03,Pending,2.65
TXN00361,2023-07-08,Kotak,Central,UPI,51541.36,Completed,0.06
TXN00362,2024-08-15,SBI,East,NEFT,30647.8,Completed,1.92
TXN00363,2023-06-05,SBI,South,UPI,39440.72,Completed,2.86
TXN00364,2023-09-24,SBI,East,NEFT,141906.36,Completed,1.31
TXN00365,2023-06-17,Kotak,North,SWIFT,24396.38,Failed,5.36
TXN00366,2024-05-15,Kotak,West,SWIFT,162454.59,Pending,2.46
TXN00367,2023-08-15,HDFC,West,NEFT,117878.81,Failed,2.76
TXN00368,2024-09-22,Axis,North,UPI,10894.81,Completed,0.44
